City ID,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Date,Country
201,Snezhnogorsk,69.1933,33.2531,56.98,63,100,9.55,1627721229,RU
202,Talnakh,69.4865,88.3972,67.23,65,94,10.87,1627721229,RU
203,Mar Del Plata,-38.0023,-57.5575,43.09,71,0,3.0,1627721041,AR
204,Inhambane,-23.865,35.3833,75.18,64,40,6.91,1627721006,MZ
205,Los Algarrobos,8.5,-82.4333,74.43,87,30,1.41,1627721229,PA
206,Poso,-1.3959,120.7524,82.22,77,84,1.05,1627721229,ID
207,Kholtoson,50.2981,103.3097,72.3,41,97,4.54,1627721229,RU
208,Vao,-22.6667,167.4833,67.39,57,5,24.38,1627721230,NC
209,Mount Isa,-20.7333,139.5,83.97,18,1,4.61,1627721230,AU
210,Roebourne,-20.7833,117.1333,78.1,32,6,14.34,1627721230,AU
211,Nogir,43.0816,44.6365,82.87,48,20,4.47,1627721230,RU
212,Tiksi,71.6872,128.8694,48.61,65,94,2.33,1627721230,RU
213,Kurumkan,54.3,110.3,76.14,51,27,3.24,1627721230,RU
214,Skjervoy,70.0311,20.9714,45.88,93,100,15.12,1627721230,NO
215,Dingle,10.9995,122.6711,84.51,75,83,12.39,1627721230,PH
216,Cherskiy,68.75,161.3,45.18,76,100,13.69,1627721230,RU
217,Leningradskiy,69.3833,178.4167,32.63,88,98,10.78,1627721230,RU
218,Slave Lake,55.2834,-114.769,60.78,82,1,5.75,1627721231,CA
219,Hasaki,35.7333,140.8333,81.28,89,18,14.97,1627721231,JP
220,Thinadhoo,0.5333,72.9333,82.27,68,89,0.92,1627721231,MV
221,Coxim,-18.5067,-54.76,54.05,20,4,6.78,1627721231,BR
222,Curvelo,-18.7564,-44.4308,52.0,90,19,5.21,1627721231,BR
223,Vardo,70.3705,31.1107,48.15,91,100,17.92,1627721231,NO
224,Acapulco,16.8634,-99.8901,77.45,77,100,3.96,1627721231,MX
225,Ichchapuram,19.1167,84.7,90.52,59,100,9.04,1627721231,IN
226,Chenzhou,25.8,113.0333,96.73,42,51,0.6,1627721231,CN
227,Polunochnoye,60.8697,60.4153,70.7,41,39,5.19,1627721232,RU
228,Nakamura,32.9833,132.9333,83.73,71,60,2.04,1627721232,JP
229,Xai-Xai,-25.0519,33.6442,73.56,53,11,7.49,1627720972,MZ
230,Tamiahua,21.2667,-97.45,75.78,88,23,4.47,1627721232,MX
231,Christchurch,-43.5333,172.6333,53.91,86,90,7.0,1627721232,NZ
232,Richards Bay,-28.783,32.0377,72.32,48,0,7.76,1627721232,ZA
233,Lagoa,39.05,-27.9833,70.03,83,65,8.61,1627721232,PT
234,Maxixe,-23.8597,35.3472,75.02,64,40,7.0,1627721232,MZ
235,Vostok,46.4856,135.8833,76.46,72,100,4.63,1627721233,RU
236,Palmer,42.1584,-72.3287,55.27,88,1,0.0,1627721233,US
237,Alice Springs,-23.7,133.8833,83.75,15,0,17.27,1627721233,AU
238,Victor Harbor,-35.5667,138.6167,53.19,91,100,7.9,1627721233,AU
239,Waitati,-45.75,170.5667,50.81,81,100,1.48,1627721233,NZ
240,Santa Maria,-29.6842,-53.8069,38.95,88,0,3.94,1627721149,BR
241,Changji,44.0167,87.3167,63.39,77,90,2.24,1627721233,CN
242,Camacha,33.0833,-16.3333,74.53,83,75,17.27,1627721233,PT
243,Maltahohe,-24.8333,16.9833,62.74,19,0,18.92,1627721233,NA
244,Feijo,-8.1642,-70.3536,59.68,58,20,2.24,1627721233,BR
245,Bouafle,6.9904,-5.7442,77.02,91,100,5.08,1627721234,CI
246,Cururupu,-1.8283,-44.8683,74.25,98,63,2.77,1627721234,BR
247,Alofi,-19.0595,-169.9187,76.89,94,57,11.5,1627721234,NU
248,Norman Wells,65.282,-126.8329,68.04,60,75,5.75,1627721234,CA
249,Maragogi,-9.0122,-35.2225,74.16,85,62,13.06,1627721234,BR
250,College,64.8569,-147.8028,64.35,77,75,3.44,1627721234,US
251,Pevek,69.7008,170.3133,33.31,86,96,1.07,1627721235,RU
252,Young,-32.6833,-57.6333,42.22,90,0,5.64,1627721235,UY
253,Iqaluit,63.7506,-68.5145,53.33,62,90,3.0,1627721235,CA
254,Adrar,20.5022,-10.0711,94.95,28,5,9.08,1627721235,MR
255,Zaysan,47.4667,84.8667,81.43,11,0,17.85,1627721235,KZ
256,Ambon,-3.6954,128.1814,80.74,89,20,5.75,1627721235,ID
257,Sassandra,4.95,-6.0833,77.13,83,77,5.28,1627721235,CI
258,Almaznyy,48.0448,40.045,82.54,39,4,8.57,1627721235,RU
259,Sibiti,-3.6819,13.3499,80.19,52,2,5.21,1627721235,CG
260,Peterhead,57.5058,-1.7981,55.45,77,100,19.17,1627720955,GB
261,Linjiang,41.8069,126.9078,85.87,60,97,3.33,1627721236,CN
262,Avera,33.194,-82.5271,81.72,89,59,5.26,1627721236,US
263,The Pas,53.8251,-101.2541,59.02,88,90,5.26,1627721236,CA
264,Meulaboh,4.1363,96.1285,75.16,94,100,6.69,1627721236,ID
265,Nouadhibou,20.931,-17.0347,69.78,94,90,12.66,1627721236,MR
266,Sakakah,29.9697,40.2064,98.17,9,0,11.16,1627721236,SA
267,Zemio,5.0314,25.1361,82.94,61,100,2.64,1627721236,CF
268,Petropavlovsk-Kamchatskiy,53.0452,158.6483,52.39,100,90,8.95,1627721236,RU
269,Mugla,37.2303,28.3557,95.67,15,0,13.35,1627721206,TR
270,Kavieng,-2.5744,150.7967,82.33,74,78,5.79,1627721237,PG
271,Rumonge,-3.9736,29.4386,81.52,37,16,7.74,1627721237,BI
272,Saint-Augustin,51.226,-58.6502,54.3,94,100,16.87,1627721237,CA
273,Gornyak,50.9942,81.4661,82.35,20,54,6.96,1627721237,RU
274,Kieta,-6.2167,155.6333,79.02,85,61,7.2,1627721237,PG
275,La Ronge,55.1001,-105.2842,59.25,77,20,0.0,1627721237,CA
276,Lianzhou,24.7811,112.3825,85.59,76,67,4.29,1627721237,CN
277,Longyearbyen,78.2186,15.6401,44.44,65,40,10.36,1627721237,SJ
278,Smoky Lake,54.1169,-112.4686,61.52,72,0,2.3,1627721237,CA
279,Paso De Carrasco,-34.8603,-56.0522,42.26,87,0,4.61,1627721238,UY
280,Hobyo,5.3505,48.5268,83.95,55,92,25.52,1627721238,SO
281,Olafsvik,64.8945,-23.7142,54.91,87,57,3.02,1627721238,IS
282,Hornepayne,49.2138,-84.7705,51.13,93,97,3.94,1627721238,CA
283,Tavira,37.1273,-7.6486,69.67,47,10,18.7,1627721238,PT
284,Rio Grande,-32.035,-52.0986,47.12,88,0,7.52,1627721191,BR
285,Leshukonskoye,64.8989,45.7622,69.64,60,100,5.3,1627721238,RU
286,Ponta Do Sol,32.6667,-17.1,78.01,74,4,3.2,1627721011,PT
287,Khorramshahr,30.4397,48.1664,116.56,8,0,0.0,1627721130,IR
288,Lasa,46.6166,10.7002,68.02,71,54,3.96,1627721239,IT
289,Anadyr,64.75,177.4833,46.9,81,0,6.71,1627721239,RU
290,Kattivakkam,13.2167,80.3167,96.89,42,95,9.62,1627721239,IN
291,Kroya,-7.6331,109.2461,80.17,80,49,14.2,1627721239,ID
292,Paramirim,-13.4425,-42.2389,61.05,89,94,8.52,1627721239,BR
293,Tecoanapa,16.5167,-98.75,77.43,86,91,3.4,1627721239,MX
294,Matay,28.419,30.7792,97.32,21,0,9.51,1627721239,EG
295,Omsukchan,62.5333,155.8,48.33,61,100,5.08,1627721239,RU
296,Peravurani,10.3,79.1833,95.81,39,3,9.93,1627721239,IN
297,Mandalgovi,45.7625,106.2708,71.17,38,29,14.5,1627721240,MN
298,Dovers,12.8833,-61.1833,81.03,80,86,18.37,1627721240,VC
299,Cabinda,-5.55,12.2,73.54,83,75,0.0,1627721240,AO
300,Fairbanks,64.8378,-147.7164,64.36,78,90,0.0,1627721112,US
301,Half Moon Bay,37.4636,-122.4286,66.33,89,20,1.99,1627721240,US
302,Itacare,-14.2775,-38.9967,68.36,88,100,11.77,1627721240,BR
303,Ankazobe,-18.3167,47.1167,66.61,39,0,16.11,1627721240,MG
304,Arlit,18.7369,7.3853,93.15,35,7,7.74,1627721240,NE
305,Salalah,17.0151,54.0924,80.69,89,90,10.36,1627721240,OM
306,Bela,25.9333,81.9833,87.4,70,93,11.92,1627721240,IN
307,Chapais,49.7834,-74.8492,44.38,95,30,5.57,1627721241,CA
308,Severo-Kurilsk,50.6789,156.125,52.86,95,100,11.5,1627721036,RU
309,Kampong Cham,11.9934,105.4635,89.02,60,99,3.51,1627721223,KH
310,Luorong,24.4058,109.6086,94.06,60,75,4.14,1627721241,CN
311,Balkhash,46.844,74.9804,84.81,21,0,11.18,1627721241,KZ
312,Broome,42.2506,-75.833,51.67,97,0,2.06,1627721241,US
313,Sibu,2.3,111.8167,89.91,62,40,3.0,1627721241,MY
314,Ponta Delgada,37.7333,-25.6667,70.52,94,75,9.22,1627721241,PT
315,Aykhal,66.0,111.5,77.11,25,3,10.78,1627721041,RU
316,Pisco,-13.7,-76.2167,62.65,82,90,2.3,1627721241,PE
317,High Prairie,55.4334,-116.4858,61.9,62,0,6.31,1627721242,CA
318,Naryan-Mar,67.6713,53.087,60.08,49,100,6.96,1627721242,RU
319,Beringovskiy,63.05,179.3167,44.83,86,95,16.75,1627721242,RU
320,Nishihara,26.1842,127.7558,87.08,90,75,10.36,1627721242,JP
321,Jeremie,18.65,-74.1167,80.47,79,0,2.24,1627721242,HT
322,Gimli,50.6336,-96.9907,66.22,72,1,10.36,1627721242,CA
323,Waddan,29.1614,16.139,94.86,17,0,3.74,1627721242,LY
324,Rawson,-43.3002,-65.1023,40.62,52,0,12.35,1627721242,AR
325,Villaviciosa,43.4813,-5.4357,64.0,86,96,5.44,1627721242,ES
326,Saint-Francois,46.4154,3.9054,66.42,72,75,3.44,1627721242,FR
327,Constitucion,-35.3333,-72.4167,49.35,86,54,6.82,1627721243,CL
328,Matadi,-5.8167,13.45,79.54,62,79,6.33,1627721243,CD
329,Baghdad,33.3406,44.4009,111.11,17,0,6.91,1627721161,IQ
330,Dunedin,-45.8742,170.5036,50.81,81,100,5.01,1627721243,NZ
331,Luangwa,-15.6167,30.4167,76.32,41,36,12.68,1627721243,ZM
332,Hualmay,-11.0964,-77.6139,62.35,85,81,8.1,1627721243,PE
333,Tautira,-17.7333,-149.15,73.42,66,71,14.63,1627721243,PF
334,Zhanaozen,43.3,52.8,94.64,13,0,10.89,1627721243,KZ
335,Manokwari,-0.8667,134.0833,81.68,79,27,0.92,1627721243,ID
336,Mongoumba,3.6415,18.5936,89.01,47,82,3.94,1627721243,CF
337,Dongsheng,39.8161,109.9776,82.87,17,17,18.72,1627721028,CN
338,Sao Jose Da Coroa Grande,-8.8978,-35.1478,73.83,85,80,12.88,1627721244,BR
339,Birobidzhan,48.8,132.95,68.94,77,99,9.04,1627721244,RU
340,Ternate,0.8,127.4,83.05,76,78,6.51,1627721244,ID
341,Tramore,52.1624,-7.1524,62.19,78,75,1.01,1627721244,IE
342,Haines Junction,60.7522,-137.5108,55.35,58,72,2.3,1627721244,CA
343,Jardim,-21.4803,-56.1381,52.25,27,99,3.6,1627721244,BR
344,Iberia,29.9502,-91.7507,80.67,94,1,3.44,1627721244,US
345,Jumla,29.2747,82.1838,71.17,82,99,3.67,1627721244,NP
346,Bethel,41.3712,-73.414,60.49,85,1,5.75,1627721244,US
347,Kapoeta,4.7717,33.5903,81.79,51,100,9.08,1627721245,SS
348,Pandan,14.0453,124.1694,86.79,70,100,13.53,1627721245,PH
349,Mbekenyera,-10.0,38.9833,85.8,32,0,7.47,1627721245,TZ
350,Lisakovsk,52.5369,62.4936,87.21,37,97,10.63,1627721141,KZ
351,Dabola,10.75,-11.1167,74.3,90,85,2.86,1627721245,GN
352,Lazaro Cardenas,17.9583,-102.2,74.25,87,100,8.59,1627721245,MX
353,Coari,-4.085,-63.1414,71.6,60,97,0.85,1627721245,BR
354,Alta Floresta,-9.8756,-56.0861,59.74,53,2,4.59,1627721245,BR
355,Bilibino,68.0546,166.4372,42.55,68,95,8.72,1627721245,RU
